"number","gsm","run","title","study"
1,"GSM1551439","SRR1658523","Hi-C_HS_7_Rep1","SRP050096"
2,"GSM1551440","SRR1658524","Hi-C_HS_8_Rep2","SRP050096"
3,"GSM1551441","SRR1658525","Hi-C_NT5_Rep1","SRP050096"
4,"GSM1551442","SRR1658526","Hi-C_NT_25_Rep2","SRP050096"
5,"GSM1551443","SRR1658527","Hi-C_NT_53_Rep3","SRP050096"
6,"GSM1551444","SRR1658528","Hi-C_NT_89_Rep4","SRP050096"
7,"GSM1551445","SRR1658529","Hi-C_Triptolide6_Rep1","SRP050096"
8,"GSM1551446","SRR1658530","Hi-C_Triptolide_26_Rep2","SRP050096"
9,"GSM1551447","SRR1658531","Hi-C_Triptolide_43_Rep3","SRP050096"
10,"GSM1551448","SRR1658532","Hi-C_Flavopiridol7_Rep1","SRP050096"
11,"GSM1551449","SRR1658533","Hi-C_Flavopiridol_27_Rep2","SRP050096"
12,"GSM1551450","SRR1658534","Hi-C_Flavopiridol_42_Rep3","SRP050096"
13,"GSM1551451","SRR1658535","Hi-C_Rad21NT_91_Rep1","SRP050096"
14,"GSM1551452","SRR1658536","Hi-C_CapH28_Rep1","SRP050096"
15,"GSM1551453","SRR1658537","Hi-C_CapH2_28_Rep2","SRP050096"
16,"GSM1551454","SRR1658538","Hi-C_CapH2_50_Rep3","SRP050096"
17,"GSM1551455","SRR1658539","Hi-C_Rad21HS_92_Rep1","SRP050096"
