"number","GSM","file","url"
1,"GSM1551439","[GSM1551439_Hi-C_HS_7.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551439/suppl/GSM1551439_Hi-C_HS_7.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551439/suppl/GSM1551439_Hi-C_HS_7.txt.gz"
2,"GSM1551440","[GSM1551440_Hi-C_HS_8.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551440/suppl/GSM1551440_Hi-C_HS_8.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551440/suppl/GSM1551440_Hi-C_HS_8.txt.gz"
3,"GSM1551441","[GSM1551441_Hi-C_NT_15.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551441/suppl/GSM1551441_Hi-C_NT_15.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551441/suppl/GSM1551441_Hi-C_NT_15.txt.gz"
4,"GSM1551442","[GSM1551442_Hi-C_NT_25.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551442/suppl/GSM1551442_Hi-C_NT_25.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551442/suppl/GSM1551442_Hi-C_NT_25.txt.gz"
5,"GSM1551443","[GSM1551443_Hi-C_NT_53.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551443/suppl/GSM1551443_Hi-C_NT_53.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551443/suppl/GSM1551443_Hi-C_NT_53.txt.gz"
6,"GSM1551444","[GSM1551444_Hi-C_NT_89.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551444/suppl/GSM1551444_Hi-C_NT_89.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551444/suppl/GSM1551444_Hi-C_NT_89.txt.gz"
7,"GSM1551445","[GSM1551445_Hi-C_Triptolide_16.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551445/suppl/GSM1551445_Hi-C_Triptolide_16.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551445/suppl/GSM1551445_Hi-C_Triptolide_16.txt.gz"
8,"GSM1551446","[GSM1551446_Hi-C_Triptolide_26.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551446/suppl/GSM1551446_Hi-C_Triptolide_26.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551446/suppl/GSM1551446_Hi-C_Triptolide_26.txt.gz"
9,"GSM1551447","[GSM1551447_Hi-C_Triptolide_43.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551447/suppl/GSM1551447_Hi-C_Triptolide_43.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551447/suppl/GSM1551447_Hi-C_Triptolide_43.txt.gz"
10,"GSM1551448","[GSM1551448_Hi-C_Flavopiridol_17.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551448/suppl/GSM1551448_Hi-C_Flavopiridol_17.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551448/suppl/GSM1551448_Hi-C_Flavopiridol_17.txt.gz"
11,"GSM1551449","[GSM1551449_Hi-C_Flavopiridol_27.txt.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551449/suppl/GSM1551449_Hi-C_Flavopiridol_27.txt.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551449/suppl/GSM1551449_Hi-C_Flavopiridol_27.txt.gz"
