"number","gsm","run","title","study"
1,"GSM849421","SRR389756","Pilot simplified Hi-C","SRP009838"
2,"GSM849421","SRR389760","Pilot simplified Hi-C","SRP009838"
3,"GSM849421","SRR389761","Pilot simplified Hi-C","SRP009838"
4,"GSM849421","SRR389758","Pilot simplified Hi-C","SRP009838"
5,"GSM849421","SRR389757","Pilot simplified Hi-C","SRP009838"
6,"GSM849421","SRR389759","Pilot simplified Hi-C","SRP009838"
7,"GSM849422","SRR389765","Deep-sequenced simplified Hi-C","SRP009838"
8,"GSM849422","SRR389763","Deep-sequenced simplified Hi-C","SRP009838"
9,"GSM849422","SRR389768","Deep-sequenced simplified Hi-C","SRP009838"
10,"GSM849422","SRR389762","Deep-sequenced simplified Hi-C","SRP009838"
11,"GSM849422","SRR389767","Deep-sequenced simplified Hi-C","SRP009838"
12,"GSM849422","SRR389766","Deep-sequenced simplified Hi-C","SRP009838"
13,"GSM849422","SRR389764","Deep-sequenced simplified Hi-C","SRP009838"
