"number","gsm","run","title","study"
1,"GSM1536376","SRR1638749","WT_NC12-pSer5","SRP049466"
2,"GSM1536376","SRR1638750","WT_NC12-pSer5","SRP049466"
3,"GSM1536377","SRR1638751","WT_NC12-input","SRP049466"
4,"GSM1536377","SRR1638752","WT_NC12-input","SRP049466"
5,"GSM1536378","SRR1638753","WT_NC13-IgG","SRP049466"
6,"GSM1536379","SRR1638755","WT_NC13-pSer5","SRP049466"
7,"GSM1536379","SRR1638754","WT_NC13-pSer5","SRP049466"
8,"GSM1536380","SRR1638757","WT_NC13-Rpa70","SRP049466"
9,"GSM1536380","SRR1638756","WT_NC13-Rpa70","SRP049466"
10,"GSM1536381","SRR1638758","WT_NC13-input","SRP049466"
11,"GSM1536381","SRR1638759","WT_NC13-input","SRP049466"
12,"GSM1536382","SRR1638760","WT_NC14E-pSer5","SRP049466"
13,"GSM1536382","SRR1638761","WT_NC14E-pSer5","SRP049466"
14,"GSM1536383","SRR1638762","WT_NC14E-input","SRP049466"
15,"GSM1536383","SRR1638763","WT_NC14E-input","SRP049466"
16,"GSM1536384","SRR1638764","WT_NC14M-pSer5","SRP049466"
17,"GSM1536384","SRR1638765","WT_NC14M-pSer5","SRP049466"
18,"GSM1536385","SRR1638766","WT_NC14M-input","SRP049466"
19,"GSM1536385","SRR1638767","WT_NC14M-input","SRP049466"
20,"GSM1536386","SRR1638768","WT_NC14L-pSer5","SRP049466"
21,"GSM1536386","SRR1638769","WT_NC14L-pSer5","SRP049466"
22,"GSM1536387","SRR1638771","WT_NC14L-input","SRP049466"
23,"GSM1536387","SRR1638770","WT_NC14L-input","SRP049466"
24,"GSM1536388","SRR1638773","mei-41_NC13-pSer5","SRP049466"
25,"GSM1536388","SRR1638772","mei-41_NC13-pSer5","SRP049466"
26,"GSM1536389","SRR1638774","mei-41_NC13-IgG","SRP049466"
27,"GSM1536389","SRR1638775","mei-41_NC13-IgG","SRP049466"
28,"GSM1536390","SRR1638776","zld_NC13-pSer5","SRP049466"
29,"GSM1536390","SRR1638777","zld_NC13-pSer5","SRP049466"
30,"GSM1536391","SRR1638778","zld_NC13-Rpa70","SRP049466"
31,"GSM1536391","SRR1638779","zld_NC13-Rpa70","SRP049466"
32,"GSM1536392","SRR1638781","zld_NC13-input","SRP049466"
33,"GSM1536392","SRR1638780","zld_NC13-input","SRP049466"
