"number","gsm","run","title","study"
1,"GSM1424888","SRR1505698","H4K5ac ChIP-seq at cycle 8","SRP044032"
2,"GSM1424889","SRR1505699","H4K5ac ChIP-seq cycle 12","SRP044032"
3,"GSM1424890","SRR1505700","H4K5ac ChIP-seq cycle 14a","SRP044032"
4,"GSM1424891","SRR1505701","H4K5ac ChIP-seq cycle 14c","SRP044032"
5,"GSM1424892","SRR1505702","H4K8ac ChIP-seq cycle 8","SRP044032"
6,"GSM1424893","SRR1505703","H4K8ac ChIP-seq cycle 12","SRP044032"
7,"GSM1424894","SRR1505704","H4K8ac ChIP-seq cycle 14a","SRP044032"
8,"GSM1424895","SRR1505705","H4K8ac ChIP-seq cycle 14c","SRP044032"
9,"GSM1424896","SRR1505706","H3K18ac ChIP-seq cycle 8","SRP044032"
10,"GSM1424897","SRR1505707","H3K18ac ChIP-seq cycle 12","SRP044032"
11,"GSM1424898","SRR1505708","H3K18ac ChIP-seq cycle 14a","SRP044032"
12,"GSM1424899","SRR1505709","H3K18ac ChIP-seq cycle 14c","SRP044032"
13,"GSM1424900","SRR1505711","H3K27ac ChIP-seq cycle 8","SRP044032"
14,"GSM1424900","SRR1505710","H3K27ac ChIP-seq cycle 8","SRP044032"
15,"GSM1424901","SRR1505712","H3K27ac ChIP-seq cycle 12","SRP044032"
16,"GSM1424902","SRR1505713","H3K27ac ChIP-seq cycle 14a","SRP044032"
17,"GSM1424903","SRR1505714","H3K27ac ChIP-seq cycle 14c","SRP044032"
18,"GSM1424904","SRR1505715","H3K4me1 ChIP-seq cycle 8","SRP044032"
19,"GSM1424905","SRR1505716","H3K4me1 ChIP-seq cycle 12","SRP044032"
20,"GSM1424906","SRR1505717","H3K4me1 ChIP-seq cycle 14a","SRP044032"
21,"GSM1424907","SRR1505718","H3K4me1 ChIP-seq cycle 14c","SRP044032"
22,"GSM1424908","SRR1505719","H3K4me3 ChIP-seq cycle 8","SRP044032"
23,"GSM1424909","SRR1505720","H3K4me3 ChIP-seq cycle 12","SRP044032"
24,"GSM1424910","SRR1505721","H3K4me3 ChIP-seq cycle 14a","SRP044032"
25,"GSM1424911","SRR1505722","H3K4me3 ChIP-seq cycle 14c","SRP044032"
26,"GSM1424912","SRR1505723","H3K9ac ChIP-seq cycle 8","SRP044032"
27,"GSM1424913","SRR1505724","H3K9ac ChIP-seq cycle 12","SRP044032"
28,"GSM1424914","SRR1505725","H3K9ac ChIP-seq cycle 14a","SRP044032"
29,"GSM1424915","SRR1505726","H3K9ac ChIP-seq cycle 14c","SRP044032"
30,"GSM1424916","SRR1505727","H3K27me3 ChIP-seq cycle 12","SRP044032"
31,"GSM1424917","SRR1505728","H3K27me3 ChIP-seq cycle 14a","SRP044032"
32,"GSM1424918","SRR1505729","H3K27me3 ChIP-seq cycle 14c","SRP044032"
33,"GSM1424919","SRR1505730","H3K36me3 ChIP-seq cycle 12","SRP044032"
34,"GSM1424920","SRR1505731","H3K36me3 ChIP-seq cycle 14a","SRP044032"
35,"GSM1424921","SRR1505732","H3K36me3 ChIP-seq cycle 14c","SRP044032"
36,"GSM1424922","SRR1505733","H3 ChIP-seq cycle 8","SRP044032"
37,"GSM1424923","SRR1505734","H3 ChIP-seq cycle 12","SRP044032"
38,"GSM1424924","SRR1505735","H3 ChIP-seq cycle 14a","SRP044032"
39,"GSM1424925","SRR1505736","H3 ChIP-seq cycle 14c","SRP044032"
40,"GSM1424926","SRR1505737","Input for cycle 8 ChIP-seq samples","SRP044032"
41,"GSM1424927","SRR1505738","Input for cycle 12 ChIP-seq samples","SRP044032"
42,"GSM1424928","SRR1505739","Input for cycle 14a ChIP-seq samples","SRP044032"
43,"GSM1424929","SRR1505740","Input for cycle 14c ChIP-seq samples","SRP044032"
44,"GSM1429650","SRR1508419","Zelda ChIP-seq in wt embryos","SRP044032"
45,"GSM1429651","SRR1508420","Zelda ChIP-seq in zelda mutant embryos","SRP044032"
46,"GSM1429652","SRR1508421","H3 ChIP-seq in wt embryos","SRP044032"
47,"GSM1429653","SRR1508422","H3 ChIP-seq in zelda mutant embryos","SRP044032"
48,"GSM1429654","SRR1508423","H3K4me1 ChIP-seq in wt embryos","SRP044032"
49,"GSM1429655","SRR1508424","H3K4me1 ChIP-seq in zelda mutant embryos","SRP044032"
50,"GSM1429656","SRR1508425","H3K18ac ChIP-seq in wt embryos","SRP044032"
51,"GSM1429657","SRR1508426","H3K18ac ChIP-seq in zelda mutant embryos","SRP044032"
