"number","GSM","file","url"
1,"GSM14248881","[GSM1424888_Dmel-H4K5ac-c8-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424888/suppl/GSM1424888_Dmel-H4K5ac-c8-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424888/suppl/GSM1424888_Dmel-H4K5ac-c8-peaks.xls.gz"
2,"GSM14248882","[GSM1424888_Dmel-H4K5ac-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424888/suppl/GSM1424888_Dmel-H4K5ac-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424888/suppl/GSM1424888_Dmel-H4K5ac-c8.wig.gz"
3,"GSM14248891","[GSM1424889_Dmel-H4K5ac-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424889/suppl/GSM1424889_Dmel-H4K5ac-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424889/suppl/GSM1424889_Dmel-H4K5ac-c12-peaks.xls.gz"
4,"GSM14248892","[GSM1424889_Dmel-H4K5ac-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424889/suppl/GSM1424889_Dmel-H4K5ac-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424889/suppl/GSM1424889_Dmel-H4K5ac-c12.wig.gz"
5,"GSM14248901","[GSM1424890_Dmel-H4K5ac-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424890/suppl/GSM1424890_Dmel-H4K5ac-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424890/suppl/GSM1424890_Dmel-H4K5ac-c14a-peaks.xls.gz"
6,"GSM14248902","[GSM1424890_Dmel-H4K5ac-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424890/suppl/GSM1424890_Dmel-H4K5ac-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424890/suppl/GSM1424890_Dmel-H4K5ac-c14a.wig.gz"
7,"GSM14248911","[GSM1424891_Dmel-H4K5ac-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424891/suppl/GSM1424891_Dmel-H4K5ac-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424891/suppl/GSM1424891_Dmel-H4K5ac-c14c-peaks.xls.gz"
8,"GSM14248912","[GSM1424891_Dmel-H4K5ac-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424891/suppl/GSM1424891_Dmel-H4K5ac-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424891/suppl/GSM1424891_Dmel-H4K5ac-c14c.wig.gz"
9,"GSM14248921","[GSM1424892_Dmel-H4K8ac-c8-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424892/suppl/GSM1424892_Dmel-H4K8ac-c8-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424892/suppl/GSM1424892_Dmel-H4K8ac-c8-peaks.xls.gz"
10,"GSM14248922","[GSM1424892_Dmel-H4K8ac-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424892/suppl/GSM1424892_Dmel-H4K8ac-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424892/suppl/GSM1424892_Dmel-H4K8ac-c8.wig.gz"
11,"GSM14248931","[GSM1424893_Dmel-H4K8ac-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424893/suppl/GSM1424893_Dmel-H4K8ac-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424893/suppl/GSM1424893_Dmel-H4K8ac-c12-peaks.xls.gz"
12,"GSM14248932","[GSM1424893_Dmel-H4K8ac-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424893/suppl/GSM1424893_Dmel-H4K8ac-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424893/suppl/GSM1424893_Dmel-H4K8ac-c12.wig.gz"
13,"GSM14248941","[GSM1424894_Dmel-H4K8ac-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424894/suppl/GSM1424894_Dmel-H4K8ac-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424894/suppl/GSM1424894_Dmel-H4K8ac-c14a-peaks.xls.gz"
14,"GSM14248942","[GSM1424894_Dmel-H4K8ac-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424894/suppl/GSM1424894_Dmel-H4K8ac-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424894/suppl/GSM1424894_Dmel-H4K8ac-c14a.wig.gz"
15,"GSM14248951","[GSM1424895_Dmel-H4K8ac-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424895/suppl/GSM1424895_Dmel-H4K8ac-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424895/suppl/GSM1424895_Dmel-H4K8ac-c14c-peaks.xls.gz"
16,"GSM14248952","[GSM1424895_Dmel-H4K8ac-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424895/suppl/GSM1424895_Dmel-H4K8ac-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424895/suppl/GSM1424895_Dmel-H4K8ac-c14c.wig.gz"
17,"GSM14248961","[GSM1424896_Dmel-H3K18ac-c8-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424896/suppl/GSM1424896_Dmel-H3K18ac-c8-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424896/suppl/GSM1424896_Dmel-H3K18ac-c8-peaks.xls.gz"
18,"GSM14248962","[GSM1424896_Dmel-H3K18ac-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424896/suppl/GSM1424896_Dmel-H3K18ac-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424896/suppl/GSM1424896_Dmel-H3K18ac-c8.wig.gz"
19,"GSM14248971","[GSM1424897_Dmel-H3K18ac-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424897/suppl/GSM1424897_Dmel-H3K18ac-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424897/suppl/GSM1424897_Dmel-H3K18ac-c12-peaks.xls.gz"
20,"GSM14248972","[GSM1424897_Dmel-H3K18ac-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424897/suppl/GSM1424897_Dmel-H3K18ac-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424897/suppl/GSM1424897_Dmel-H3K18ac-c12.wig.gz"
21,"GSM14248981","[GSM1424898_Dmel-H3K18ac-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424898/suppl/GSM1424898_Dmel-H3K18ac-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424898/suppl/GSM1424898_Dmel-H3K18ac-c14a-peaks.xls.gz"
22,"GSM14248982","[GSM1424898_Dmel-H3K18ac-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424898/suppl/GSM1424898_Dmel-H3K18ac-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424898/suppl/GSM1424898_Dmel-H3K18ac-c14a.wig.gz"
23,"GSM14248991","[GSM1424899_Dmel-H3K18ac-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424899/suppl/GSM1424899_Dmel-H3K18ac-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424899/suppl/GSM1424899_Dmel-H3K18ac-c14c-peaks.xls.gz"
24,"GSM14248992","[GSM1424899_Dmel-H3K18ac-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424899/suppl/GSM1424899_Dmel-H3K18ac-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424899/suppl/GSM1424899_Dmel-H3K18ac-c14c.wig.gz"
25,"GSM14249001","[GSM1424900_Dmel-H3K27ac-c8-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424900/suppl/GSM1424900_Dmel-H3K27ac-c8-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424900/suppl/GSM1424900_Dmel-H3K27ac-c8-peaks.xls.gz"
26,"GSM14249002","[GSM1424900_Dmel-H3K27ac-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424900/suppl/GSM1424900_Dmel-H3K27ac-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424900/suppl/GSM1424900_Dmel-H3K27ac-c8.wig.gz"
27,"GSM14249011","[GSM1424901_Dmel-H3K27ac-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424901/suppl/GSM1424901_Dmel-H3K27ac-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424901/suppl/GSM1424901_Dmel-H3K27ac-c12-peaks.xls.gz"
28,"GSM14249012","[GSM1424901_Dmel-H3K27ac-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424901/suppl/GSM1424901_Dmel-H3K27ac-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424901/suppl/GSM1424901_Dmel-H3K27ac-c12.wig.gz"
29,"GSM14249021","[GSM1424902_Dmel-H3K27ac-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424902/suppl/GSM1424902_Dmel-H3K27ac-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424902/suppl/GSM1424902_Dmel-H3K27ac-c14a-peaks.xls.gz"
30,"GSM14249022","[GSM1424902_Dmel-H3K27ac-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424902/suppl/GSM1424902_Dmel-H3K27ac-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424902/suppl/GSM1424902_Dmel-H3K27ac-c14a.wig.gz"
31,"GSM14249031","[GSM1424903_Dmel-H3K27ac-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424903/suppl/GSM1424903_Dmel-H3K27ac-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424903/suppl/GSM1424903_Dmel-H3K27ac-c14c-peaks.xls.gz"
32,"GSM14249032","[GSM1424903_Dmel-H3K27ac-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424903/suppl/GSM1424903_Dmel-H3K27ac-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424903/suppl/GSM1424903_Dmel-H3K27ac-c14c.wig.gz"
33,"GSM14249041","[GSM1424904_Dmel-H3K4me1-c8-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424904/suppl/GSM1424904_Dmel-H3K4me1-c8-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424904/suppl/GSM1424904_Dmel-H3K4me1-c8-peaks.xls.gz"
34,"GSM14249042","[GSM1424904_Dmel-H3K4me1-c8.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424904/suppl/GSM1424904_Dmel-H3K4me1-c8.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424904/suppl/GSM1424904_Dmel-H3K4me1-c8.wig.gz"
35,"GSM14249051","[GSM1424905_Dmel-H3K4me1-c12-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424905/suppl/GSM1424905_Dmel-H3K4me1-c12-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424905/suppl/GSM1424905_Dmel-H3K4me1-c12-peaks.xls.gz"
36,"GSM14249052","[GSM1424905_Dmel-H3K4me1-c12.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424905/suppl/GSM1424905_Dmel-H3K4me1-c12.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424905/suppl/GSM1424905_Dmel-H3K4me1-c12.wig.gz"
37,"GSM14249061","[GSM1424906_Dmel-H3K4me1-c14a-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424906/suppl/GSM1424906_Dmel-H3K4me1-c14a-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424906/suppl/GSM1424906_Dmel-H3K4me1-c14a-peaks.xls.gz"
38,"GSM14249062","[GSM1424906_Dmel-H3K4me1-c14a.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424906/suppl/GSM1424906_Dmel-H3K4me1-c14a.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424906/suppl/GSM1424906_Dmel-H3K4me1-c14a.wig.gz"
39,"GSM14249071","[GSM1424907_Dmel-H3K4me1-c14c-peaks.xls.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424907/suppl/GSM1424907_Dmel-H3K4me1-c14c-peaks.xls.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424907/suppl/GSM1424907_Dmel-H3K4me1-c14c-peaks.xls.gz"
40,"GSM14249072","[GSM1424907_Dmel-H3K4me1-c14c.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424907/suppl/GSM1424907_Dmel-H3K4me1-c14c.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1424nnn/GSM1424907/suppl/GSM1424907_Dmel-H3K4me1-c14c.wig.gz"
