"number","gsm","run","title","study"
1,"GSM1596215","SRR1779547","2-3h wt Zld ChIP-seq rep1","SRP052975"
2,"GSM1596216","SRR1779548","2-3h wt Zld ChIP-seq rep1 input","SRP052975"
3,"GSM1596217","SRR1779549","2-3h gd7 Zld ChIP-seq rep1","SRP052975"
4,"GSM1596218","SRR1779550","2-3h gd7 Zld ChIP-seq rep1 input","SRP052975"
5,"GSM1596219","SRR1779551","2-3h wt Zld ChIP-seq rep2","SRP052975"
6,"GSM1596220","SRR1779552","2-3h wt Zld ChIP-seq rep2 input","SRP052975"
7,"GSM1596221","SRR1779553","2-3h gd7 Zld ChIP-seq rep2","SRP052975"
8,"GSM1596222","SRR1779554","2-3h gd7 Zld ChIP-seq rep2 input","SRP052975"
9,"GSM1596223","SRR1779555","2-3h wt Dl ChIP-seq rep1","SRP052975"
10,"GSM1596224","SRR1779556","2-3h wt Dl ChIP-seq rep1 input","SRP052975"
11,"GSM1596225","SRR1779557","2-3h zld- Dl ChIP-seq rep1","SRP052975"
12,"GSM1596226","SRR1779558","2-3h zld- Dl ChIP-seq rep1 input","SRP052975"
13,"GSM1596227","SRR1779559","2-3h wt Dl ChIP-seq rep2","SRP052975"
14,"GSM1596228","SRR1779560","2-3h wt Dl ChIP-seq rep2 input","SRP052975"
15,"GSM1596229","SRR1779561","2-3h zld- Dl ChIP-seq rep2","SRP052975"
16,"GSM1596230","SRR1779562","2-3h zld- Dl ChIP-seq rep2 input","SRP052975"
17,"GSM1596231","SRR1779563","2-3h wt Pol II ChIP-seq rep1","SRP052975"
18,"GSM1596232","SRR1779564","2-3h wt Pol II ChIP-seq rep1 input","SRP052975"
19,"GSM1596233","SRR1779565","2-3h zld- Pol II ChIP-seq rep1","SRP052975"
20,"GSM1596234","SRR1779566","2-3h zld- Pol II ChIP-seq rep1 input","SRP052975"
21,"GSM1596235","SRR1779567","2-3h wt Pol II ChIP-seq rep2","SRP052975"
22,"GSM1596236","SRR1779568","2-3h wt Pol II ChIP-seq rep2 input","SRP052975"
23,"GSM1596237","SRR1779569","2-3h zld- Pol II ChIP-seq rep2","SRP052975"
24,"GSM1596238","SRR1779570","2-3h zld- Pol II ChIP-seq rep2 input","SRP052975"
25,"GSM1596239","SRR1779571","2-3h wt MNase-seq rep1","SRP052975"
26,"GSM1596240","SRR1779572","2-3h zld- MNase-seq rep1","SRP052975"
27,"GSM1596241","SRR1779573","2-3h wt MNase-seq rep2","SRP052975"
28,"GSM1596242","SRR1779574","2-3h zld- MNase-seq rep2","SRP052975"
29,"GSM1596243","SRR1779575","2-4h wt MNase-seq rep1","SRP052975"
30,"GSM1596244","SRR1779576","2-4h gd7 MNase-seq rep1","SRP052975"
31,"GSM1596245","SRR1779577","2-4h wt MNase-seq rep2","SRP052975"
32,"GSM1596246","SRR1779578","2-4h gd7 MNase-seq rep2","SRP052975"
