"number","GSM","file","url"
1,"GSM1596231","[GSM1596231_2-3h_wt_Pol_II_ChIP-seq_rep1.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596231/suppl/GSM1596231_2-3h_wt_Pol_II_ChIP-seq_rep1.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596231/suppl/GSM1596231_2-3h_wt_Pol_II_ChIP-seq_rep1.bw"
2,"GSM1596232","[GSM1596232_2-3h_wt_Pol_II_ChIP-seq_rep1_input.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596232/suppl/GSM1596232_2-3h_wt_Pol_II_ChIP-seq_rep1_input.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596232/suppl/GSM1596232_2-3h_wt_Pol_II_ChIP-seq_rep1_input.bw"
3,"GSM1596233","[GSM1596233_2-3h_zld-_Pol_II_ChIP-seq_rep1.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596233/suppl/GSM1596233_2-3h_zld-_Pol_II_ChIP-seq_rep1.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596233/suppl/GSM1596233_2-3h_zld-_Pol_II_ChIP-seq_rep1.bw"
4,"GSM1596234","[GSM1596234_2-3h_zld-_Pol_II_ChIP-seq_rep1_input.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596234/suppl/GSM1596234_2-3h_zld-_Pol_II_ChIP-seq_rep1_input.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596234/suppl/GSM1596234_2-3h_zld-_Pol_II_ChIP-seq_rep1_input.bw"
5,"GSM1596235","[GSM1596235_2-3h_wt_Pol_II_ChIP-seq_rep2.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596235/suppl/GSM1596235_2-3h_wt_Pol_II_ChIP-seq_rep2.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596235/suppl/GSM1596235_2-3h_wt_Pol_II_ChIP-seq_rep2.bw"
6,"GSM1596236","[GSM1596236_2-3h_wt_Pol_II_ChIP-seq_rep2_input.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596236/suppl/GSM1596236_2-3h_wt_Pol_II_ChIP-seq_rep2_input.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596236/suppl/GSM1596236_2-3h_wt_Pol_II_ChIP-seq_rep2_input.bw"
7,"GSM1596237","[GSM1596237_2-3h_zld-_Pol_II_ChIP-seq_rep2.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596237/suppl/GSM1596237_2-3h_zld-_Pol_II_ChIP-seq_rep2.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596237/suppl/GSM1596237_2-3h_zld-_Pol_II_ChIP-seq_rep2.bw"
8,"GSM1596238","[GSM1596238_2-3h_zld-_Pol_II_ChIP-seq_rep2_input.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596238/suppl/GSM1596238_2-3h_zld-_Pol_II_ChIP-seq_rep2_input.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596238/suppl/GSM1596238_2-3h_zld-_Pol_II_ChIP-seq_rep2_input.bw"
9,"GSM1596239","[GSM1596239_2-3h_wt_MNase-seq_rep1.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596239/suppl/GSM1596239_2-3h_wt_MNase-seq_rep1.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596239/suppl/GSM1596239_2-3h_wt_MNase-seq_rep1.bw"
10,"GSM1596240","[GSM1596240_2-3h_zld-_MNase-seq_rep1.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596240/suppl/GSM1596240_2-3h_zld-_MNase-seq_rep1.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596240/suppl/GSM1596240_2-3h_zld-_MNase-seq_rep1.bw"
11,"GSM1596241","[GSM1596241_2-3h_wt_MNase-seq_rep2.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596241/suppl/GSM1596241_2-3h_wt_MNase-seq_rep2.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596241/suppl/GSM1596241_2-3h_wt_MNase-seq_rep2.bw"
12,"GSM1596242","[GSM1596242_2-3h_zld-_MNase-seq_rep2.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596242/suppl/GSM1596242_2-3h_zld-_MNase-seq_rep2.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596242/suppl/GSM1596242_2-3h_zld-_MNase-seq_rep2.bw"
13,"GSM1596243","[GSM1596243_2-4h_wt_MNase-seq_rep1.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596243/suppl/GSM1596243_2-4h_wt_MNase-seq_rep1.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596243/suppl/GSM1596243_2-4h_wt_MNase-seq_rep1.bw"
14,"GSM1596244","[GSM1596244_2-4h_gd7_MNase-seq_rep1.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596244/suppl/GSM1596244_2-4h_gd7_MNase-seq_rep1.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596244/suppl/GSM1596244_2-4h_gd7_MNase-seq_rep1.bw"
15,"GSM1596245","[GSM1596245_2-4h_wt_MNase-seq_rep2.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596245/suppl/GSM1596245_2-4h_wt_MNase-seq_rep2.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596245/suppl/GSM1596245_2-4h_wt_MNase-seq_rep2.bw"
16,"GSM1596246","[GSM1596246_2-4h_gd7_MNase-seq_rep2.bw](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596246/suppl/GSM1596246_2-4h_gd7_MNase-seq_rep2.bw)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1596nnn/GSM1596246/suppl/GSM1596246_2-4h_gd7_MNase-seq_rep2.bw"
