"number","gsm","run","title","study"
1,"GSM2219678","SRR3727933","WT_15121502_NC11_03_rep1","SRP077569"
2,"GSM2219679","SRR3727934","WT_15121602_NC11_03_rep2","SRP077569"
3,"GSM2219680","SRR3727935","WT_15121802_NC11_03_rep3","SRP077569"
4,"GSM2219681","SRR3727936","WT_15121504_NC11_06_rep1","SRP077569"
5,"GSM2219682","SRR3727937","WT_15121603_NC11_06_rep2","SRP077569"
6,"GSM2219683","SRR3727938","WT_15121801_NC11_06_rep3","SRP077569"
7,"GSM2219684","SRR3727939","WT_15121503_NC11_09_rep1","SRP077569"
8,"GSM2219685","SRR3727940","WT_15121604_NC11_09_rep2","SRP077569"
9,"GSM2219686","SRR3727941","WT_15121804_NC11_09_rep3","SRP077569"
10,"GSM2219687","SRR3727942","WT_15042106_NC12_03_rep1","SRP077569"
11,"GSM2219688","SRR3727943","WT_15042202_NC12_03_rep2","SRP077569"
12,"GSM2219689","SRR3727944","WT_15042302_NC12_03_rep3","SRP077569"
13,"GSM2219690","SRR3727945","WT_15042102_NC12_06_rep1","SRP077569"
14,"GSM2219691","SRR3727946","WT_15042401_NC12_06_rep2","SRP077569"
15,"GSM2219692","SRR3727947","WT_15042405_NC12_06_rep3","SRP077569"
16,"GSM2219693","SRR3727948","WT_15042107_NC12_09_rep1","SRP077569"
17,"GSM2219694","SRR3727949","WT_15042303_NC12_09_rep2","SRP077569"
18,"GSM2219695","SRR3727950","WT_15042701_NC12_09_rep3","SRP077569"
19,"GSM2219696","SRR3727951","WT_15042104_NC12_12_rep1","SRP077569"
20,"GSM2219697","SRR3727952","WT_15042304_NC12_12_rep2","SRP077569"
21,"GSM2219698","SRR3727953","WT_15042702_NC12_12_rep3","SRP077569"
22,"GSM2219699","SRR3727954","WT_15042803_NC12_12_rep4","SRP077569"
23,"GSM2219700","SRR3727955","WT_15042205_NC13_03_rep1","SRP077569"
24,"GSM2219701","SRR3727956","WT_15042306_NC13_03_rep2","SRP077569"
25,"GSM2219702","SRR3727957","WT_15042804_NC13_03_rep3","SRP077569"
26,"GSM2219703","SRR3727958","WT_15042103_NC13_06_rep1","SRP077569"
27,"GSM2219704","SRR3727959","WT_15042206_NC13_06_rep2","SRP077569"
28,"GSM2219705","SRR3727960","WT_15042704_NC13_06_rep3","SRP077569"
29,"GSM2219706","SRR3727961","WT_15042307_NC13_09_rep1","SRP077569"
30,"GSM2219707","SRR3727962","WT_15042308_NC13_09_rep2","SRP077569"
31,"GSM2219708","SRR3727963","WT_15042805_NC13_09_rep3","SRP077569"
32,"GSM2219709","SRR3727964","WT_15042204_NC13_12_rep1","SRP077569"
33,"GSM2219710","SRR3727965","WT_15042305_NC13_12_rep2","SRP077569"
34,"GSM2219711","SRR3727966","WT_15042902_NC13_12_rep3","SRP077569"
35,"GSM2219712","SRR3727967","WT_15042105_NC13_15_rep1","SRP077569"
36,"GSM2219713","SRR3727968","WT_15042403_NC13_15_rep2","SRP077569"
37,"GSM2219714","SRR3727969","WT_15042806_NC13_15_rep3","SRP077569"
38,"GSM2219715","SRR3727970","WT_15042201_NC13_18_rep1","SRP077569"
39,"GSM2219716","SRR3727971","WT_15042404_NC13_18_rep2","SRP077569"
40,"GSM2219717","SRR3727972","WT_15042802_NC13_18_rep3","SRP077569"
41,"GSM2219718","SRR3727973","ssm_15082101_NC12_03_rep1","SRP077569"
42,"GSM2219719","SRR3727974","ssm_15082102_NC12_03_rep2","SRP077569"
43,"GSM2219720","SRR3727975","ssm_15082601_NC12_03_rep3","SRP077569"
44,"GSM2219721","SRR3727976","ssm_15081703_NC12_06_rep1","SRP077569"
45,"GSM2219722","SRR3727977","ssm_15082104_NC12_06_rep2","SRP077569"
46,"GSM2219723","SRR3727978","ssm_15082501_NC12_06_rep3","SRP077569"
47,"GSM2219724","SRR3727979","ssm_15081401_NC12_09_rep1","SRP077569"
48,"GSM2219725","SRR3727980","ssm_15081403_NC12_09_rep2","SRP077569"
49,"GSM2219726","SRR3727981","ssm_15082502_NC12_09_rep3","SRP077569"
50,"GSM2219727","SRR3727982","ssm_15081701_NC13_03_rep1","SRP077569"
51,"GSM2219728","SRR3727983","ssm_15081704_NC13_03_rep2","SRP077569"
52,"GSM2219729","SRR3727984","ssm_15082603_NC13_03_rep3","SRP077569"
53,"GSM2219730","SRR3727985","ssm_15081402_NC13_06_rep1","SRP077569"
54,"GSM2219731","SRR3727986","ssm_15082503_NC13_06_rep2","SRP077569"
55,"GSM2219732","SRR3727987","ssm_15082602_NC13_06_rep3","SRP077569"
56,"GSM2219733","SRR3727988","ssm_15081301_NC13_09_rep1","SRP077569"
57,"GSM2219734","SRR3727989","ssm_15081302_NC13_09_rep2","SRP077569"
58,"GSM2219735","SRR3727990","ssm_15081303_NC13_09_rep3","SRP077569"
59,"GSM2219736","SRR3727991","ssm_15082203_NC13_12_rep1","SRP077569"
60,"GSM2219737","SRR3727992","ssm_15082504_NC13_12_rep2","SRP077569"
61,"GSM2219738","SRR3727993","ssm_15082604_NC13_12_rep3","SRP077569"
62,"GSM2219739","SRR3727994","ssm_15120804_NC14_03_rep1","SRP077569"
63,"GSM2219740","SRR3727995","ssm_15120901_NC14_03_rep2","SRP077569"
64,"GSM2219741","SRR3727996","ssm_15120907_NC14_03_rep3","SRP077569"
65,"GSM2219742","SRR3727997","ssm_15121003_NC14_03_rep4","SRP077569"
66,"GSM2219743","SRR3727998","ssm_15120801_NC14_06_rep1","SRP077569"
67,"GSM2219744","SRR3727999","ssm_15120905_NC14_06_rep2","SRP077569"
68,"GSM2219745","SRR3728000","ssm_15121004_NC14_06_rep3","SRP077569"
69,"GSM2219746","SRR3728001","ssm_15120803_NC14_09_rep1","SRP077569"
70,"GSM2219747","SRR3728002","ssm_15120902_NC14_09_rep2","SRP077569"
71,"GSM2219748","SRR3728003","ssm_15120908_NC14_09_rep3","SRP077569"
72,"GSM2219749","SRR3728004","ssm_15121005_NC14_09_rep4","SRP077569"
73,"GSM2219750","SRR3728005","ssm_15120802_NC14_12_rep1","SRP077569"
74,"GSM2219751","SRR3728006","ssm_15120903_NC14_12_rep2","SRP077569"
75,"GSM2219752","SRR3728007","ssm_15121001_NC14_12_rep3","SRP077569"
76,"GSM2219753","SRR3728008","ssm_15120805_NC14_15_rep1","SRP077569"
77,"GSM2219754","SRR3728009","ssm_15120906_NC14_15_rep2","SRP077569"
78,"GSM2219755","SRR3728010","ssm_15121006_NC14_15_rep3","SRP077569"
79,"GSM2219756","SRR3728011","ssm_15120806_NC14_18_rep1","SRP077569"
80,"GSM2219757","SRR3728012","ssm_15120904_NC14_18_rep2","SRP077569"
81,"GSM2219758","SRR3728013","ssm_15121002_NC14_18_rep3","SRP077569"
