"number","GSM","file","url"
1,"GSM22196781","[GSM2219678_WT_NC11_03_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219678/suppl/GSM2219678_WT_NC11_03_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219678/suppl/GSM2219678_WT_NC11_03_open.wig.gz"
2,"GSM22196782","[GSM2219678_wt_NC11.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219678/suppl/GSM2219678_wt_NC11.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219678/suppl/GSM2219678_wt_NC11.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
3,"GSM22196783","[GSM2219678_wt_NC11.03_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219678/suppl/GSM2219678_wt_NC11.03_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219678/suppl/GSM2219678_wt_NC11.03_all.peaks.nucmap_combined.bed.gz"
4,"GSM22196811","[GSM2219681_WT_NC11_06_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219681/suppl/GSM2219681_WT_NC11_06_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219681/suppl/GSM2219681_WT_NC11_06_open.wig.gz"
5,"GSM22196812","[GSM2219681_wt_NC11.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219681/suppl/GSM2219681_wt_NC11.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219681/suppl/GSM2219681_wt_NC11.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
6,"GSM22196813","[GSM2219681_wt_NC11.06_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219681/suppl/GSM2219681_wt_NC11.06_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219681/suppl/GSM2219681_wt_NC11.06_all.peaks.nucmap_combined.bed.gz"
7,"GSM22196841","[GSM2219684_WT_NC11_09_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219684/suppl/GSM2219684_WT_NC11_09_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219684/suppl/GSM2219684_WT_NC11_09_open.wig.gz"
8,"GSM22196842","[GSM2219684_wt_NC11.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219684/suppl/GSM2219684_wt_NC11.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219684/suppl/GSM2219684_wt_NC11.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
9,"GSM22196843","[GSM2219684_wt_NC11.09_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219684/suppl/GSM2219684_wt_NC11.09_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219684/suppl/GSM2219684_wt_NC11.09_all.peaks.nucmap_combined.bed.gz"
10,"GSM22196871","[GSM2219687_WT_NC12_03_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219687/suppl/GSM2219687_WT_NC12_03_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219687/suppl/GSM2219687_WT_NC12_03_open.wig.gz"
11,"GSM22196872","[GSM2219687_wt_NC12.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219687/suppl/GSM2219687_wt_NC12.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219687/suppl/GSM2219687_wt_NC12.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
12,"GSM22196873","[GSM2219687_wt_NC12.03_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219687/suppl/GSM2219687_wt_NC12.03_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219687/suppl/GSM2219687_wt_NC12.03_all.peaks.nucmap_combined.bed.gz"
13,"GSM22196901","[GSM2219690_WT_NC12_06_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219690/suppl/GSM2219690_WT_NC12_06_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219690/suppl/GSM2219690_WT_NC12_06_open.wig.gz"
14,"GSM22196902","[GSM2219690_wt_NC12.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219690/suppl/GSM2219690_wt_NC12.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219690/suppl/GSM2219690_wt_NC12.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
15,"GSM22196903","[GSM2219690_wt_NC12.06_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219690/suppl/GSM2219690_wt_NC12.06_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219690/suppl/GSM2219690_wt_NC12.06_all.peaks.nucmap_combined.bed.gz"
16,"GSM22196931","[GSM2219693_WT_NC12_09_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219693/suppl/GSM2219693_WT_NC12_09_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219693/suppl/GSM2219693_WT_NC12_09_open.wig.gz"
17,"GSM22196932","[GSM2219693_wt_NC12.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219693/suppl/GSM2219693_wt_NC12.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219693/suppl/GSM2219693_wt_NC12.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
18,"GSM22196933","[GSM2219693_wt_NC12.09_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219693/suppl/GSM2219693_wt_NC12.09_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219693/suppl/GSM2219693_wt_NC12.09_all.peaks.nucmap_combined.bed.gz"
19,"GSM22196961","[GSM2219696_WT_NC12_12_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219696/suppl/GSM2219696_WT_NC12_12_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219696/suppl/GSM2219696_WT_NC12_12_open.wig.gz"
20,"GSM22196962","[GSM2219696_wt_NC12.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219696/suppl/GSM2219696_wt_NC12.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219696/suppl/GSM2219696_wt_NC12.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
21,"GSM22196963","[GSM2219696_wt_NC12.12_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219696/suppl/GSM2219696_wt_NC12.12_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219696/suppl/GSM2219696_wt_NC12.12_all.peaks.nucmap_combined.bed.gz"
22,"GSM22197001","[GSM2219700_WT_NC13_03_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219700/suppl/GSM2219700_WT_NC13_03_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219700/suppl/GSM2219700_WT_NC13_03_open.wig.gz"
23,"GSM22197002","[GSM2219700_wt_NC13.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219700/suppl/GSM2219700_wt_NC13.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219700/suppl/GSM2219700_wt_NC13.03_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
24,"GSM22197003","[GSM2219700_wt_NC13.03_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219700/suppl/GSM2219700_wt_NC13.03_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219700/suppl/GSM2219700_wt_NC13.03_all.peaks.nucmap_combined.bed.gz"
25,"GSM22197031","[GSM2219703_WT_NC13_06_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219703/suppl/GSM2219703_WT_NC13_06_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219703/suppl/GSM2219703_WT_NC13_06_open.wig.gz"
26,"GSM22197032","[GSM2219703_wt_NC13.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219703/suppl/GSM2219703_wt_NC13.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219703/suppl/GSM2219703_wt_NC13.06_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
27,"GSM22197033","[GSM2219703_wt_NC13.06_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219703/suppl/GSM2219703_wt_NC13.06_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219703/suppl/GSM2219703_wt_NC13.06_all.peaks.nucmap_combined.bed.gz"
28,"GSM22197061","[GSM2219706_WT_NC13_09_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219706/suppl/GSM2219706_WT_NC13_09_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219706/suppl/GSM2219706_WT_NC13_09_open.wig.gz"
29,"GSM22197062","[GSM2219706_wt_NC13.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219706/suppl/GSM2219706_wt_NC13.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219706/suppl/GSM2219706_wt_NC13.09_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
30,"GSM22197063","[GSM2219706_wt_NC13.09_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219706/suppl/GSM2219706_wt_NC13.09_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219706/suppl/GSM2219706_wt_NC13.09_all.peaks.nucmap_combined.bed.gz"
31,"GSM22197091","[GSM2219709_WT_NC13_12_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219709/suppl/GSM2219709_WT_NC13_12_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219709/suppl/GSM2219709_WT_NC13_12_open.wig.gz"
32,"GSM22197092","[GSM2219709_wt_NC13.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219709/suppl/GSM2219709_wt_NC13.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219709/suppl/GSM2219709_wt_NC13.12_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
33,"GSM22197093","[GSM2219709_wt_NC13.12_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219709/suppl/GSM2219709_wt_NC13.12_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219709/suppl/GSM2219709_wt_NC13.12_all.peaks.nucmap_combined.bed.gz"
34,"GSM22197121","[GSM2219712_WT_NC13_15_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219712/suppl/GSM2219712_WT_NC13_15_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219712/suppl/GSM2219712_WT_NC13_15_open.wig.gz"
35,"GSM22197122","[GSM2219712_wt_NC13.15_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219712/suppl/GSM2219712_wt_NC13.15_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219712/suppl/GSM2219712_wt_NC13.15_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
36,"GSM22197123","[GSM2219712_wt_NC13.15_all.peaks.nucmap_combined.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219712/suppl/GSM2219712_wt_NC13.15_all.peaks.nucmap_combined.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219712/suppl/GSM2219712_wt_NC13.15_all.peaks.nucmap_combined.bed.gz"
37,"GSM22197151","[GSM2219715_WT_NC13_18_open.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219715/suppl/GSM2219715_WT_NC13_18_open.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219715/suppl/GSM2219715_WT_NC13_18_open.wig.gz"
38,"GSM22197152","[GSM2219715_wt_NC13.18_all.peaks.nucleoatac_signal.smooth.bedgraph.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219715/suppl/GSM2219715_wt_NC13.18_all.peaks.nucleoatac_signal.smooth.bedgraph.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2219nnn/GSM2219715/suppl/GSM2219715_wt_NC13.18_all.peaks.nucleoatac_signal.smooth.bedgraph.gz"
