"number","gsm","run","title","study"
1,"GSM1535962","SRR1636748","BEAF_HS_Rep1","SRP049442"
2,"GSM1535963","SRR1636749","BEAF_NT_Rep2","SRP049442"
3,"GSM1535964","SRR1636750","CapH2_HS_Rep1","SRP049442"
4,"GSM1535965","SRR1636751","CapH2_HS_Rep2","SRP049442"
5,"GSM1535966","SRR1636752","CapH2_NT_Rep1","SRP049442"
6,"GSM1535967","SRR1636753","CapH2_NT_Rep2","SRP049442"
7,"GSM1535968","SRR1636754","CBP_HS_Rep1","SRP049442"
8,"GSM1535969","SRR1636755","CBP_HS_Rep2","SRP049442"
9,"GSM1535970","SRR1636756","CBP_NT_Rep1","SRP049442"
10,"GSM1535971","SRR1636757","CBP_NT_Rep2","SRP049442"
11,"GSM1535972","SRR1636758","CBP_NT_Rep3","SRP049442"
12,"GSM1535973","SRR1636759","Chromator_HS_Rep1","SRP049442"
13,"GSM1535974","SRR1636760","Chromator_HS_Rep2","SRP049442"
14,"GSM1535975","SRR1636761","Chromator_NT_Rep1","SRP049442"
15,"GSM1535976","SRR1636762","Chromator_NT_Rep2","SRP049442"
16,"GSM1535977","SRR1636763","CP190_HS_Rep1","SRP049442"
17,"GSM1535978","SRR1636764","CP190_HS_Rep2","SRP049442"
18,"GSM1535979","SRR1636765","CP190_HS_Rep3","SRP049442"
19,"GSM1535980","SRR1636766","CP190_NT_Rep2","SRP049442"
20,"GSM1535981","SRR1636767","CTCF_HS_Rep1","SRP049442"
21,"GSM1535982","SRR1636768","CTCF_HS_Rep2","SRP049442"
22,"GSM1535983","SRR1636769","CTCF_NT_Rep2","SRP049442"
23,"GSM1535984","SRR1636770","DREF_HS_Rep1","SRP049442"
24,"GSM1535985","SRR1636771","DREF_NT_Rep2","SRP049442"
25,"GSM1535986","SRR1636772","Fs1h-L_HS_Rep1","SRP049442"
26,"GSM1535987","SRR1636773","Fs1h-L_NT_Rep1","SRP049442"
27,"GSM1535988","SRR1636774","Fs1h-L_NT_Rep2","SRP049442"
28,"GSM1535989","SRR1636775","H3K4me1_HS_Rep1","SRP049442"
29,"GSM1535990","SRR1636776","H3K4me1_HS_Rep2","SRP049442"
30,"GSM1535991","SRR1636777","H3K4me1_NT_Rep2","SRP049442"
31,"GSM1535992","SRR1636778","H3K4me3_HS_Rep1","SRP049442"
32,"GSM1535993","SRR1636779","H3K4me3_HS_Rep2","SRP049442"
33,"GSM1535994","SRR1636780","H3K4me3_NT_Rep2","SRP049442"
34,"GSM1535995","SRR1636781","H3K9me2_HS_Rep1","SRP049442"
35,"GSM1535996","SRR1636782","H3K9me2_NT_Rep1","SRP049442"
36,"GSM1535997","SRR1636783","H3K27ac_HS_Rep1","SRP049442"
37,"GSM1535998","SRR1636784","IgG_input_HS_Rep1","SRP049442"
38,"GSM1535999","SRR1636785","IgG_input_NT_Rep1","SRP049442"
39,"GSM1536000","SRR1636786","IgG_input_NT_Rep2","SRP049442"
40,"GSM1536001","SRR1636787","L3mbt_HS_Rep1","SRP049442"
41,"GSM1536002","SRR1636788","L3mbt_NT_Rep1","SRP049442"
42,"GSM1536003","SRR1636789","Modmdg4_HS_Rep1","SRP049442"
43,"GSM1536004","SRR1636790","Modmdg4_HS_Rep2","SRP049442"
44,"GSM1536005","SRR1636791","Pc_RJ_HS_Rep1","SRP049442"
45,"GSM1536006","SRR1636792","Pc_RJ_NT_Rep1","SRP049442"
46,"GSM1536007","SRR1636793","Pc_VP_NT_Rep1","SRP049442"
47,"GSM1536008","SRR1636794","Rad21_HS_Rep1","SRP049442"
48,"GSM1536009","SRR1636795","Rad21_NT_Rep1","SRP049442"
49,"GSM1536010","SRR1636796","Rad21_NT_Rep2","SRP049442"
50,"GSM1536011","SRR1636797","Rad21_NT_Rep3","SRP049442"
51,"GSM1536012","SRR1636798","RNAPII_flavopiridol_Rep1","SRP049442"
52,"GSM1536013","SRR1636799","RNAPII_HS_Rep1","SRP049442"
53,"GSM1536014","SRR1636800","RNAPII_NT_Rep1","SRP049442"
54,"GSM1536015","SRR1636801","RNAPII_triptolide_Rep1","SRP049442"
55,"GSM1536016","SRR1636802","SuHw_HS_Rep1","SRP049442"
56,"GSM1536017","SRR1636803","TFIIIC_HS_Rep1","SRP049442"
57,"GSM1536018","SRR1636804","TFIIIC_HS_Rep2","SRP049442"
58,"GSM1536019","SRR1636805","TFIIIC_NT_Rep1","SRP049442"
59,"GSM1536020","SRR1636806","TFIIIC_NT_Rep2","SRP049442"
60,"GSM1536021","SRR1636807","Z4_HS_Rep1","SRP049442"
61,"GSM1536022","SRR1636808","Z4_NT_Rep1","SRP049442"
