"number","GSM","file","url"
1,"GSM1535962","[GSM1535962_BEAF_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535962/suppl/GSM1535962_BEAF_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535962/suppl/GSM1535962_BEAF_HS_Rep1.wig.gz"
2,"GSM1535963","[GSM1535963_BEAF_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535963/suppl/GSM1535963_BEAF_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535963/suppl/GSM1535963_BEAF_NT_Rep2.wig.gz"
3,"GSM1535964","[GSM1535964_CapH2_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535964/suppl/GSM1535964_CapH2_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535964/suppl/GSM1535964_CapH2_HS_Rep1.wig.gz"
4,"GSM1535965","[GSM1535965_CapH2_HS_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535965/suppl/GSM1535965_CapH2_HS_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535965/suppl/GSM1535965_CapH2_HS_Rep2.wig.gz"
5,"GSM1535966","[GSM1535966_CapH2_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535966/suppl/GSM1535966_CapH2_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535966/suppl/GSM1535966_CapH2_NT_Rep1.wig.gz"
6,"GSM1535967","[GSM1535967_CapH2_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535967/suppl/GSM1535967_CapH2_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535967/suppl/GSM1535967_CapH2_NT_Rep2.wig.gz"
7,"GSM1535968","[GSM1535968_CBP_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535968/suppl/GSM1535968_CBP_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535968/suppl/GSM1535968_CBP_HS_Rep1.wig.gz"
8,"GSM1535969","[GSM1535969_CBP_HS_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535969/suppl/GSM1535969_CBP_HS_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535969/suppl/GSM1535969_CBP_HS_Rep2.wig.gz"
9,"GSM1535970","[GSM1535970_CBP_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535970/suppl/GSM1535970_CBP_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535970/suppl/GSM1535970_CBP_NT_Rep1.wig.gz"
10,"GSM1535971","[GSM1535971_CBP_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535971/suppl/GSM1535971_CBP_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535971/suppl/GSM1535971_CBP_NT_Rep2.wig.gz"
11,"GSM1535972","[GSM1535972_CBP_NT_Rep3.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535972/suppl/GSM1535972_CBP_NT_Rep3.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535972/suppl/GSM1535972_CBP_NT_Rep3.wig.gz"
12,"GSM1535973","[GSM1535973_Chromator_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535973/suppl/GSM1535973_Chromator_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535973/suppl/GSM1535973_Chromator_HS_Rep1.wig.gz"
13,"GSM1535974","[GSM1535974_Chromator_HS_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535974/suppl/GSM1535974_Chromator_HS_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535974/suppl/GSM1535974_Chromator_HS_Rep2.wig.gz"
14,"GSM1535975","[GSM1535975_Chromator_NT_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535975/suppl/GSM1535975_Chromator_NT_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535975/suppl/GSM1535975_Chromator_NT_Rep1.wig.gz"
15,"GSM1535976","[GSM1535976_Chromator_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535976/suppl/GSM1535976_Chromator_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535976/suppl/GSM1535976_Chromator_NT_Rep2.wig.gz"
16,"GSM1535977","[GSM1535977_CP190_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535977/suppl/GSM1535977_CP190_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535977/suppl/GSM1535977_CP190_HS_Rep1.wig.gz"
17,"GSM1535978","[GSM1535978_CP190_HS_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535978/suppl/GSM1535978_CP190_HS_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535978/suppl/GSM1535978_CP190_HS_Rep2.wig.gz"
18,"GSM1535979","[GSM1535979_CP190_HS_Rep3.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535979/suppl/GSM1535979_CP190_HS_Rep3.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535979/suppl/GSM1535979_CP190_HS_Rep3.wig.gz"
19,"GSM1535980","[GSM1535980_CP190_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535980/suppl/GSM1535980_CP190_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535980/suppl/GSM1535980_CP190_NT_Rep2.wig.gz"
20,"GSM1535981","[GSM1535981_CTCF_HS_Rep1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535981/suppl/GSM1535981_CTCF_HS_Rep1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535981/suppl/GSM1535981_CTCF_HS_Rep1.wig.gz"
21,"GSM1535982","[GSM1535982_CTCF_HS_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535982/suppl/GSM1535982_CTCF_HS_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535982/suppl/GSM1535982_CTCF_HS_Rep2.wig.gz"
22,"GSM1535983","[GSM1535983_CTCF_NT_Rep2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535983/suppl/GSM1535983_CTCF_NT_Rep2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1535nnn/GSM1535983/suppl/GSM1535983_CTCF_NT_Rep2.wig.gz"
