"number","GSM","file","url"
1,"GSM1318349","[GSM1318349_dTFIIIC220_1.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318349/suppl/GSM1318349_dTFIIIC220_1.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318349/suppl/GSM1318349_dTFIIIC220_1.wig.gz"
2,"GSM1318350","[GSM1318350_dTFIIIC220_2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318350/suppl/GSM1318350_dTFIIIC220_2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318350/suppl/GSM1318350_dTFIIIC220_2.wig.gz"
3,"GSM1318351","[GSM1318351_dTFIIIC220_3.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318351/suppl/GSM1318351_dTFIIIC220_3.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318351/suppl/GSM1318351_dTFIIIC220_3.wig.gz"
4,"GSM1318352","[GSM1318352_Rad21.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318352/suppl/GSM1318352_Rad21.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318352/suppl/GSM1318352_Rad21.wig.gz"
5,"GSM1318353","[GSM1318353_Barren_int.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318353/suppl/GSM1318353_Barren_int.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318353/suppl/GSM1318353_Barren_int.wig.gz"
6,"GSM1318354","[GSM1318354_Barren.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318354/suppl/GSM1318354_Barren.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318354/suppl/GSM1318354_Barren.wig.gz"
7,"GSM1318355","[GSM1318355_CAPH2_int.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318355/suppl/GSM1318355_CAPH2_int.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318355/suppl/GSM1318355_CAPH2_int.wig.gz"
8,"GSM1318356","[GSM1318356_CAPH2.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318356/suppl/GSM1318356_CAPH2.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318356/suppl/GSM1318356_CAPH2.wig.gz"
9,"GSM1318357","[GSM1318357_Chromator.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318357/suppl/GSM1318357_Chromator.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318357/suppl/GSM1318357_Chromator.wig.gz"
10,"GSM1318358","[GSM1318358_GAF.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318358/suppl/GSM1318358_GAF.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318358/suppl/GSM1318358_GAF.wig.gz"
11,"GSM1318359","[GSM1318359_CP190.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318359/suppl/GSM1318359_CP190.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1318nnn/GSM1318359/suppl/GSM1318359_CP190.wig.gz"
12,"GSM1363352","[GSM1363352_dTFIIIC220_dCTCF-RNAi.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363352/suppl/GSM1363352_dTFIIIC220_dCTCF-RNAi.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363352/suppl/GSM1363352_dTFIIIC220_dCTCF-RNAi.wig.gz"
13,"GSM1363353","[GSM1363353_Rad21_dCTCF-RNAi.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363353/suppl/GSM1363353_Rad21_dCTCF-RNAi.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363353/suppl/GSM1363353_Rad21_dCTCF-RNAi.wig.gz"
14,"GSM1363354","[GSM1363354_CAPH2_dCTCF-RNAi.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363354/suppl/GSM1363354_CAPH2_dCTCF-RNAi.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363354/suppl/GSM1363354_CAPH2_dCTCF-RNAi.wig.gz"
15,"GSM1363355","[GSM1363355_CP190_dCTCF-RNAi.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363355/suppl/GSM1363355_CP190_dCTCF-RNAi.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363355/suppl/GSM1363355_CP190_dCTCF-RNAi.wig.gz"
16,"GSM1363356","[GSM1363356_Input_dCTCF-RNAi.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363356/suppl/GSM1363356_Input_dCTCF-RNAi.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1363nnn/GSM1363356/suppl/GSM1363356_Input_dCTCF-RNAi.wig.gz"
