"number","gsm","run","title","study"
1,"GSM762836","SRR317176","CP190_20HE_0hrs_ChIPSeq","SRP007592"
2,"GSM762837","SRR317177","CP190_20HE_3hrs_ChIPSeq","SRP007592"
3,"GSM762838","SRR317178","CP190_20HE_48hrs_ChIPSeq","SRP007592"
4,"GSM762839","SRR317179","Su(Hw)_20HE_0hrs_ChIPSeq","SRP007592"
5,"GSM762840","SRR317180","Su(Hw)_20HE_3hrs_ChIPSeq","SRP007592"
6,"GSM762841","SRR317181","Su(Hw)_20HE_48hrs_ChIPSeq","SRP007592"
7,"GSM762842","SRR317182","dCTCF_20HE_0hrs_ChIPSeq","SRP007592"
8,"GSM762843","SRR317183","dCTCF_20HE_3hrs_ChIPSeq","SRP007592"
9,"GSM762844","SRR317184","dCTCF_20HE_48hrs_ChIPSeq","SRP007592"
10,"GSM762845","SRR317185","BEAF-32_20HE_0hrs_ChIPSeq","SRP007592"
11,"GSM762846","SRR317186","BEAF-32_20HE_3hrs_ChIPSeq","SRP007592"
12,"GSM762847","SRR317187","BEAF-32_20HE_48hrs_ChIPSeq","SRP007592"
13,"GSM762848","SRR317188","Input_20HE_0hrs_ChIPSeq","SRP007592"
14,"GSM762849","SRR317189","Input_20HE_0hrs_ChIPSeq2","SRP007592"
