"number","GSM","file","url"
1,"GSM7628361","[GSM762836_CP190_20HE_0hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762836/suppl/GSM762836_CP190_20HE_0hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762836/suppl/GSM762836_CP190_20HE_0hrs_ChIPSeq.bed.gz"
2,"GSM7628362","[GSM762836_CP190_20HE_0hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762836/suppl/GSM762836_CP190_20HE_0hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762836/suppl/GSM762836_CP190_20HE_0hrs_ChIPSeq.wig.gz"
3,"GSM7628371","[GSM762837_CP190_20HE_3hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762837/suppl/GSM762837_CP190_20HE_3hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762837/suppl/GSM762837_CP190_20HE_3hrs_ChIPSeq.bed.gz"
4,"GSM7628372","[GSM762837_CP190_20HE_3hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762837/suppl/GSM762837_CP190_20HE_3hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762837/suppl/GSM762837_CP190_20HE_3hrs_ChIPSeq.wig.gz"
5,"GSM7628381","[GSM762838_CP190_20HE_48hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762838/suppl/GSM762838_CP190_20HE_48hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762838/suppl/GSM762838_CP190_20HE_48hrs_ChIPSeq.bed.gz"
6,"GSM7628382","[GSM762838_CP190_20HE_48hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762838/suppl/GSM762838_CP190_20HE_48hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762838/suppl/GSM762838_CP190_20HE_48hrs_ChIPSeq.wig.gz"
7,"GSM7628391","[GSM762839_Su_Hw_20HE_0hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762839/suppl/GSM762839_Su_Hw_20HE_0hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762839/suppl/GSM762839_Su_Hw_20HE_0hrs_ChIPSeq.bed.gz"
8,"GSM7628392","[GSM762839_Su_Hw_20HE_0hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762839/suppl/GSM762839_Su_Hw_20HE_0hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762839/suppl/GSM762839_Su_Hw_20HE_0hrs_ChIPSeq.wig.gz"
9,"GSM7628401","[GSM762840_Su_Hw_20HE_3hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762840/suppl/GSM762840_Su_Hw_20HE_3hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762840/suppl/GSM762840_Su_Hw_20HE_3hrs_ChIPSeq.bed.gz"
10,"GSM7628402","[GSM762840_Su_Hw_20HE_3hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762840/suppl/GSM762840_Su_Hw_20HE_3hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762840/suppl/GSM762840_Su_Hw_20HE_3hrs_ChIPSeq.wig.gz"
11,"GSM7628411","[GSM762841_Su_Hw_20HE_48hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762841/suppl/GSM762841_Su_Hw_20HE_48hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762841/suppl/GSM762841_Su_Hw_20HE_48hrs_ChIPSeq.bed.gz"
12,"GSM7628412","[GSM762841_Su_Hw_20HE_48hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762841/suppl/GSM762841_Su_Hw_20HE_48hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762841/suppl/GSM762841_Su_Hw_20HE_48hrs_ChIPSeq.wig.gz"
13,"GSM7628421","[GSM762842_dCTCF_20HE_0hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762842/suppl/GSM762842_dCTCF_20HE_0hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762842/suppl/GSM762842_dCTCF_20HE_0hrs_ChIPSeq.bed.gz"
14,"GSM7628422","[GSM762842_dCTCF_20HE_0hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762842/suppl/GSM762842_dCTCF_20HE_0hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762842/suppl/GSM762842_dCTCF_20HE_0hrs_ChIPSeq.wig.gz"
15,"GSM7628431","[GSM762843_dCTCF_20HE_3hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762843/suppl/GSM762843_dCTCF_20HE_3hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762843/suppl/GSM762843_dCTCF_20HE_3hrs_ChIPSeq.bed.gz"
16,"GSM7628432","[GSM762843_dCTCF_20HE_3hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762843/suppl/GSM762843_dCTCF_20HE_3hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762843/suppl/GSM762843_dCTCF_20HE_3hrs_ChIPSeq.wig.gz"
17,"GSM7628441","[GSM762844_dCTCF_20HE_48hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762844/suppl/GSM762844_dCTCF_20HE_48hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762844/suppl/GSM762844_dCTCF_20HE_48hrs_ChIPSeq.bed.gz"
18,"GSM7628442","[GSM762844_dCTCF_20HE_48hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762844/suppl/GSM762844_dCTCF_20HE_48hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762844/suppl/GSM762844_dCTCF_20HE_48hrs_ChIPSeq.wig.gz"
19,"GSM7628451","[GSM762845_BEAF-32_20HE_0hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762845/suppl/GSM762845_BEAF-32_20HE_0hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762845/suppl/GSM762845_BEAF-32_20HE_0hrs_ChIPSeq.bed.gz"
20,"GSM7628452","[GSM762845_BEAF-32_20HE_0hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762845/suppl/GSM762845_BEAF-32_20HE_0hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762845/suppl/GSM762845_BEAF-32_20HE_0hrs_ChIPSeq.wig.gz"
21,"GSM7628461","[GSM762846_BEAF-32_20HE_3hrs_ChIPSeq.bed.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762846/suppl/GSM762846_BEAF-32_20HE_3hrs_ChIPSeq.bed.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762846/suppl/GSM762846_BEAF-32_20HE_3hrs_ChIPSeq.bed.gz"
22,"GSM7628462","[GSM762846_BEAF-32_20HE_3hrs_ChIPSeq.wig.gz](ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762846/suppl/GSM762846_BEAF-32_20HE_3hrs_ChIPSeq.wig.gz)","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM762nnn/GSM762846/suppl/GSM762846_BEAF-32_20HE_3hrs_ChIPSeq.wig.gz"
